sample_id,date,daily_PAR,weight_g,days_after_transplant,daily_growth
A,2025/9/22,10,101,15,3.2
A,2025/9/23,7.5,106.5,16,5.5
A,2025/9/24,8,110.9,17,4.4
A,2025/9/25,8.5,115.58,18,4.68
A,2025/9/26,8.5,120.28,19,4.7
A,2025/9/27,9,125.87,20,5.59
A,2025/9/28,9,131.79,21,5.92
A,2025/9/29,7.5,139.15,22,7.36
A,2025/9/30,8,147.39,23,8.24
A,2025/10/1,8,157.79,24,10.4
A,2025/10/2,8,168.19,25,10.4
A,2025/10/3,7,178.69,26,10.5
A,2025/10/4,6.5,188.89,27,10.2
A,2025/10/5,7,199.22,28,10.33
A,2025/10/6,8,209.55,29,10.33
A,2025/10/7,9,222.84,30,13.29
A,2025/10/8,9,237.14,31,14.3
A,2025/10/9,9.5,252.94,32,15.8
A,2025/10/10,9.5,270.07,33,17.13
A,2025/10/11,9.5,289.37,34,19.3
A,2025/10/12,8.5,308.77,35,19.4
A,2025/10/13,8.5,328.77,36,20
B,2025/10/14,5,101,15,2
B,2025/10/15,5,103.8,16,2.8
B,2025/10/16,6,107.1,17,3.3
B,2025/10/17,6.5,110.7,18,3.6
B,2025/10/18,7,114.6,19,3.9
B,2025/10/19,6.5,118.2,20,3.6
B,2025/10/20,8,122.6,21,4.4
B,2025/10/21,9,127.6,22,5
B,2025/10/22,10,134.2,23,6.6
B,2025/10/23,10,142.4,24,8.2
B,2025/10/24,9.5,152.2,25,9.8
B,2025/10/25,9,163.9,26,11.7
B,2025/10/26,7.5,175.2,27,11.3
B,2025/10/27,7,187.1,28,11.9
B,2025/10/28,6.5,198.2,29,11.1
B,2025/10/29,6,207.2,30,9
B,2025/10/30,6,216.2,31,9
B,2025/10/31,8,228.6,32,12.4
B,2025/11/1,9,242.9,33,14.3
B,2025/11/2,9,258,34,15.1
B,2025/11/3,10,275.3,35,17.3
B,2025/11/4,10.5,296.3,36,21
B,2025/11/5,10,318,37,21.7
,,,,,
